name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
XANTARES,76561198044118796,Team A,12,9,7,3,25,1.714286,82.352943,101.705879,0.705882,0.411765,27.352942,1729,436,465,3,3,3,2,5,2,1,0,0,aff1be81e0d222e2,ESL Challenger Katowice 2024
maden,76561198165452027,Team B,10,3,13,5,50,0.769231,64.705887,70.823532,0.588235,0.764706,6.117647,1204,166,104,0,2,1,3,4,3,0,0,0,aff1be81e0d222e2,ESL Challenger Katowice 2024
woxic,76561198083485506,Team A,10,6,6,4,40,1.666667,88.235298,54.0,0.588235,0.352941,6.823529,918,215,116,0,1,2,1,3,2,1,0,0,aff1be81e0d222e2,ESL Challenger Katowice 2024
MAJ3R,76561197967432889,Team A,15,5,12,5,33,1.25,76.470589,93.117645,0.882353,0.705882,20.0,1583,480,340,2,0,0,5,1,4,2,0,0,aff1be81e0d222e2,ESL Challenger Katowice 2024
Calyx,76561198052546265,Team A,11,4,8,7,63,1.375,82.352943,89.352943,0.647059,0.470588,9.941176,1519,289,169,3,0,1,2,7,0,0,1,0,aff1be81e0d222e2,ESL Challenger Katowice 2024
MUTiRiS,76561197997981170,Team A,19,6,14,8,42,1.357143,83.333328,75.458336,0.791667,0.583333,3.791667,1811,359,91,2,2,5,3,14,1,1,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
dupreeh,76561198004854956,Team B,24,2,17,12,50,1.411765,58.333332,106.583336,1.0,0.708333,5.458333,2558,408,131,8,3,2,2,6,4,2,1,0,ea033a32584d3430,ESL Challenger Katowice 2024
maden,76561198165452027,Team B,12,6,17,6,50,0.705882,75.0,67.083336,0.5,0.708333,7.25,1610,326,174,0,4,1,4,8,2,0,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
ewjerkz,76561198262460262,Team A,15,8,17,4,26,0.882353,66.666672,75.0,0.625,0.708333,11.125,1800,311,267,4,2,2,5,7,1,2,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
Magisk,76561197983956651,Team B,18,5,14,8,44,1.285714,75.0,86.291664,0.75,0.583333,2.916667,2071,346,70,0,2,3,0,11,2,1,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
s1mple,76561198034202275,Team B,12,5,15,5,41,0.8,75.0,63.166668,0.5,0.625,2.208333,1516,79,53,2,0,2,3,8,2,0,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
ag1l,76561198186878873,Team A,16,3,14,9,56,1.142857,58.333332,69.625,0.666667,0.583333,11.458333,1671,380,275,1,2,5,4,4,4,0,1,0,ea033a32584d3430,ESL Challenger Katowice 2024
Snappi,76561197989423065,Team B,9,6,17,4,44,0.529412,58.333332,50.583332,0.375,0.708333,3.125,1214,264,75,1,4,2,1,3,3,0,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
roman ,76561197994395491,Team A,17,6,15,11,64,1.133333,75.0,74.375,0.708333,0.625,3.625,1785,309,87,3,3,5,3,8,3,1,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
story,76561198065448360,Team A,13,6,15,6,46,0.866667,79.166672,62.791668,0.541667,0.625,5.416667,1507,142,130,3,2,1,5,5,4,0,0,0,ea033a32584d3430,ESL Challenger Katowice 2024
latto,76561198850020186,Team A,18,5,17,8,44,1.058824,79.310349,68.206894,0.62069,0.586207,2.482759,1978,392,72,3,4,6,4,6,6,0,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team B,12,13,20,5,41,0.6,79.310349,63.034481,0.413793,0.689655,4.793103,1828,365,139,2,5,3,7,8,2,0,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
hades,76561198050922008,Team B,21,1,18,5,23,1.166667,62.068962,69.206894,0.724138,0.62069,4.241379,2007,199,123,2,0,4,3,8,5,1,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
saadzin,76561198100494962,Team A,14,7,19,4,28,0.736842,75.862068,46.793102,0.482759,0.655172,0.862069,1357,168,25,3,1,4,5,6,4,0,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
dycha,76561198041416993,Team B,18,8,20,12,66,0.9,79.310349,71.068962,0.62069,0.689655,8.620689,2061,385,250,2,3,2,6,7,4,1,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
KEi,76561198081687729,Team B,24,7,21,10,41,1.142857,72.413788,89.137932,0.827586,0.724138,4.655172,2585,467,135,3,5,5,7,7,5,1,1,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
NEKiZ,76561198036884160,Team A,18,9,22,10,55,0.818182,65.517242,71.103447,0.62069,0.758621,5.655172,2062,418,164,2,3,3,6,9,2,0,0,1,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team B,24,7,17,11,45,1.411765,82.758621,82.0,0.827586,0.586207,7.482759,2378,366,217,2,5,11,4,9,3,3,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
b4rtiN,76561198130084582,Team A,13,5,22,4,30,0.590909,72.413788,56.137932,0.448276,0.758621,5.206897,1628,311,151,3,1,4,4,9,2,0,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
dumau,76561198194325317,Team A,32,5,20,13,40,1.6,86.206894,125.655174,1.103448,0.689655,3.068965,3644,574,89,7,2,5,6,10,4,5,0,0,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
dycha,76561198041416993,Team B,5,1,14,3,60,0.357143,73.684212,34.789474,0.263158,0.736842,5.578948,661,84,106,1,5,0,7,3,1,0,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
b4rtiN,76561198130084582,Team A,9,3,7,8,88,1.285714,84.210526,57.157894,0.473684,0.368421,1.789474,1086,132,34,3,2,0,0,4,1,1,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
hades,76561198050922008,Team B,13,5,14,2,15,0.928571,84.210526,77.789474,0.684211,0.736842,0.421053,1478,96,8,2,1,0,5,5,4,0,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
NEKiZ,76561198036884160,Team A,13,3,13,5,38,1.0,63.15789,73.578949,0.684211,0.684211,1.421053,1398,198,27,2,3,4,2,6,2,1,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
KEi,76561198081687729,Team B,11,6,15,6,54,0.733333,68.421051,65.578949,0.578947,0.789474,0.0,1246,178,0,2,3,4,1,5,3,0,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team B,11,5,11,7,63,1.0,63.15789,76.263161,0.578947,0.578947,4.210526,1449,302,80,1,1,5,1,6,1,1,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
dumau,76561198194325317,Team A,22,3,14,10,45,1.571429,63.15789,120.947365,1.157895,0.736842,9.105263,2298,322,173,6,0,4,3,2,5,2,1,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team B,15,2,13,9,60,1.153846,73.684212,78.894737,0.789474,0.684211,0.210526,1499,187,4,0,3,5,3,4,4,1,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
saadzin,76561198100494962,Team A,13,0,10,5,38,1.3,78.947372,64.052635,0.684211,0.526316,0.631579,1217,37,12,1,1,2,4,3,5,0,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
latto,76561198850020186,Team A,10,4,11,9,90,0.909091,78.947372,70.210526,0.526316,0.578947,1.421053,1334,223,27,1,0,1,3,6,2,0,0,0,6e4986c5e55c72c2,ESL Challenger Katowice 2024
saadzin,76561198100494962,Team B,12,2,13,5,41,0.923077,64.285713,90.928574,0.857143,0.928571,5.857143,1273,243,82,0,1,6,1,6,1,0,1,0,9df59068c7fce089,ESL Challenger Katowice 2024
dycha,76561198041416993,Team A,16,5,7,7,43,2.285714,100.0,115.071426,1.142857,0.5,0.571429,1611,262,8,1,0,1,2,10,3,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
b4rtiN,76561198130084582,Team B,2,3,14,1,50,0.142857,57.14286,23.0,0.142857,1.0,3.0,322,77,42,1,4,1,4,2,0,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
hades,76561198050922008,Team A,8,1,5,1,12,1.6,85.714287,53.142857,0.571429,0.357143,6.5,744,86,91,2,1,2,2,6,1,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
NEKiZ,76561198036884160,Team B,4,7,14,2,50,0.285714,57.14286,54.92857,0.285714,1.0,6.214286,769,97,87,1,2,1,2,2,1,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team A,12,2,6,5,41,2.0,92.85714,89.571426,0.857143,0.428571,5.785714,1254,308,81,2,0,2,0,3,3,1,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
latto,76561198850020186,Team B,6,3,13,4,66,0.461538,57.14286,45.5,0.428571,0.928571,2.428571,637,43,34,1,4,2,3,2,0,0,1,0,9df59068c7fce089,ESL Challenger Katowice 2024
dumau,76561198194325317,Team B,6,0,13,2,33,0.461538,57.14286,64.0,0.428571,0.928571,0.357143,896,149,5,0,0,1,3,3,2,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team A,14,8,8,8,57,1.75,100.0,115.0,1.0,0.571429,6.5,1610,214,91,3,1,1,4,5,5,0,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
KEi,76561198081687729,Team A,15,5,6,8,53,2.5,85.714287,107.64286,1.071429,0.428571,11.571428,1507,326,162,3,1,3,1,8,2,1,0,0,9df59068c7fce089,ESL Challenger Katowice 2024
latto,76561198850020186,Team B,19,2,13,9,47,1.461538,70.0,94.949997,0.95,0.65,8.0,1899,354,160,3,1,7,3,6,5,1,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
saadzin,76561198100494962,Team B,7,8,13,5,71,0.538462,65.0,46.299999,0.35,0.65,1.5,926,107,30,2,1,0,4,5,1,0,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
drop,76561198388056582,Team A,12,6,15,6,50,0.8,65.0,64.900002,0.6,0.75,6.6,1298,201,132,1,2,2,3,2,2,2,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
NEKiZ,76561198036884160,Team B,9,6,15,4,44,0.6,60.000004,68.099998,0.45,0.75,2.45,1362,148,49,1,1,3,3,4,1,1,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
dumau,76561198194325317,Team B,19,2,9,9,47,2.111111,80.0,106.099998,0.95,0.45,5.1,2122,311,102,4,1,3,1,7,3,2,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
b4rtiN,76561198130084582,Team B,13,3,14,6,46,0.928571,70.0,62.950001,0.65,0.7,1.7,1259,177,34,2,4,1,4,7,3,0,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
exit,76561198010496342,Team A,17,4,11,6,35,1.545455,85.0,77.900002,0.85,0.55,7.3,1558,322,146,2,1,4,3,7,2,2,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
saffee,76561197985565685,Team A,11,2,13,5,45,0.846154,65.0,69.449997,0.55,0.65,0.8,1389,86,16,1,2,0,2,4,1,0,0,1,cd2645f85a9d982a,ESL Challenger Katowice 2024
insani,76561198061423730,Team A,10,2,14,5,50,0.714286,70.0,61.849998,0.5,0.7,4.05,1237,336,81,1,6,4,4,4,1,0,1,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
Lucaozy,76561198157388473,Team A,14,5,14,5,35,1.0,80.0,84.099998,0.7,0.7,3.0,1682,286,60,3,1,3,3,5,3,1,0,0,cd2645f85a9d982a,ESL Challenger Katowice 2024
Lucaozy,76561198157388473,Team A,5,0,12,1,20,0.416667,46.666668,41.733334,0.333333,0.8,2.8,626,70,42,0,3,2,2,3,1,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
saffee,76561197985565685,Team A,3,1,11,0,0,0.272727,40.0,26.066668,0.2,0.733333,1.333333,391,41,20,1,1,1,1,3,0,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team B,10,4,6,6,60,1.666667,93.333336,73.800003,0.666667,0.4,0.0,1107,84,0,2,1,3,2,4,1,0,1,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
insani,76561198061423730,Team A,7,3,13,6,85,0.538462,66.666672,63.799999,0.466667,0.866667,6.4,957,152,96,0,3,1,2,3,2,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
exit,76561198010496342,Team A,9,3,11,4,44,0.818182,80.0,70.533333,0.6,0.733333,2.933333,1058,248,44,3,0,2,1,5,2,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
dycha,76561198041416993,Team B,9,5,7,8,88,1.285714,86.666664,74.466667,0.6,0.466667,1.2,1117,140,18,0,1,1,5,3,3,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
drop,76561198388056582,Team A,5,5,12,3,60,0.416667,60.000004,66.333336,0.333333,0.8,0.333333,995,244,5,2,2,0,1,3,1,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
hades,76561198050922008,Team B,14,2,6,3,21,2.333333,86.666664,87.533333,0.933333,0.4,4.733333,1313,33,71,2,1,5,3,4,5,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
KEi,76561198081687729,Team B,12,5,6,7,58,2.0,93.333336,86.066666,0.8,0.4,2.8,1291,141,42,4,1,2,3,8,2,0,0,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team B,14,1,4,8,57,3.5,86.666664,75.0,0.933333,0.266667,0.066667,1125,214,1,1,2,3,2,4,3,0,1,0,3d3dca900fb008d8,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team B,20,9,25,9,45,0.8,80.555557,67.277779,0.555556,0.694444,3.583333,2422,441,129,4,6,4,4,13,2,1,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
exit,76561198010496342,Team A,28,5,19,9,32,1.473684,77.777779,80.805557,0.777778,0.527778,13.833333,2909,719,498,4,2,3,1,17,2,1,1,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
hades,76561198050922008,Team B,27,5,23,6,22,1.173913,88.888893,77.138885,0.75,0.638889,1.222222,2777,146,44,5,2,1,5,13,5,0,1,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team B,19,8,27,10,52,0.703704,69.444443,66.944443,0.527778,0.75,2.416667,2410,426,87,3,3,4,8,5,7,0,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
drop,76561198388056582,Team A,27,10,25,13,48,1.08,77.777779,76.472221,0.75,0.694444,6.972222,2753,544,251,2,3,7,4,10,7,1,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
KEi,76561198081687729,Team B,20,6,25,8,40,0.8,63.888889,57.972221,0.555556,0.694444,5.472222,2087,335,197,2,5,8,6,6,4,2,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
saffee,76561197985565685,Team A,19,11,23,1,5,0.826087,75.0,50.527779,0.527778,0.638889,0.805556,1819,118,29,2,2,4,7,15,2,0,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
dycha,76561198041416993,Team B,30,7,19,15,50,1.578947,83.333328,84.361115,0.833333,0.527778,4.416667,3037,611,159,3,3,7,4,10,4,4,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
Lucaozy,76561198157388473,Team A,27,9,25,11,40,1.08,77.777779,91.055557,0.75,0.694444,3.166667,3278,515,114,5,5,2,7,12,6,1,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
insani,76561198061423730,Team A,18,8,24,11,61,0.75,69.444443,66.361115,0.5,0.666667,6.666667,2389,356,240,6,5,3,3,8,2,2,0,0,b849a0efe34ed8e5,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team B,19,4,18,10,52,1.055556,75.0,81.875,0.791667,0.75,0.041667,1965,258,1,4,3,3,4,10,1,1,1,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
ewjerkz,76561198262460262,Team A,21,8,15,10,47,1.4,70.833328,96.958336,0.875,0.625,5.791667,2327,405,139,3,4,5,6,4,7,1,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
dycha,76561198041416993,Team B,15,5,15,8,53,1.0,70.833328,74.25,0.625,0.625,0.916667,1782,347,22,3,3,4,5,5,5,0,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
story,76561198065448360,Team A,22,6,15,8,36,1.466667,95.833328,90.208336,0.916667,0.625,0.25,2165,181,6,2,2,5,3,11,2,1,1,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
MUTiRiS,76561197997981170,Team A,12,7,14,7,58,0.857143,66.666672,56.166668,0.5,0.583333,5.75,1348,238,138,2,3,2,1,10,1,0,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
ag1l,76561198186878873,Team A,15,4,15,9,60,1.0,66.666672,76.166664,0.625,0.625,7.958333,1828,250,191,1,2,2,4,7,1,2,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
KEi,76561198081687729,Team B,18,3,21,8,44,0.857143,70.833328,90.125,0.75,0.875,5.208333,2163,328,125,4,3,4,7,8,5,0,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
roman ,76561197994395491,Team A,15,3,18,6,40,0.833333,70.833328,70.541664,0.625,0.75,3.291667,1693,387,79,4,1,5,6,9,3,0,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
hades,76561198050922008,Team B,13,2,18,6,46,0.722222,62.5,65.791664,0.541667,0.75,0.041667,1579,164,1,0,1,5,5,6,2,1,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team B,12,2,13,4,33,0.923077,70.833328,55.041668,0.5,0.541667,5.541667,1321,106,133,1,2,5,2,7,1,1,0,0,d9beb80f8ec7964b,ESL Challenger Katowice 2024
kRaSnaL,76561198296417934,Team A,22,6,28,10,45,0.785714,69.444443,64.694443,0.611111,0.777778,2.444444,2329,431,88,2,4,6,11,9,5,1,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
MUTiRiS,76561197997981170,Team B,24,3,26,13,54,0.923077,66.666672,67.194443,0.666667,0.722222,6.777778,2419,410,244,7,3,3,6,9,3,3,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
dycha,76561198041416993,Team A,25,3,24,15,60,1.041667,63.888889,66.416664,0.694444,0.666667,4.305555,2391,376,155,3,10,6,7,5,7,2,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
DemQQ,76561198126171426,Team A,21,10,25,16,76,0.84,66.666672,71.166664,0.583333,0.694444,1.75,2562,474,63,1,7,7,6,9,3,2,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
ewjerkz,76561198262460262,Team B,26,7,18,10,38,1.444444,83.333328,69.861115,0.722222,0.5,1.25,2515,460,45,3,2,3,4,16,2,2,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
roman ,76561197994395491,Team B,30,8,25,22,73,1.2,66.666672,90.527779,0.833333,0.694444,2.583333,3259,522,93,8,2,2,7,8,2,6,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
hades,76561198050922008,Team A,21,5,23,8,38,0.913043,63.888889,62.25,0.583333,0.638889,1.861111,2241,158,67,2,2,4,4,7,4,2,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
story,76561198065448360,Team B,22,7,23,7,31,0.956522,77.777779,70.555557,0.611111,0.638889,5.805555,2540,335,209,5,3,3,3,14,4,0,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
ag1l,76561198186878873,Team B,26,8,18,15,57,1.444444,80.555557,78.722221,0.722222,0.5,3.444444,2834,587,124,3,0,7,3,8,6,2,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
KEi,76561198081687729,Team A,21,6,28,10,47,0.75,66.666672,66.111115,0.583333,0.777778,0.888889,2380,395,32,2,3,4,4,14,2,1,0,0,9ccb5651c9037897,ESL Challenger Katowice 2024
alex666,76561198304115519,Team B,18,6,18,6,33,1.0,83.333328,77.75,0.75,0.75,4.583333,1866,340,110,5,3,6,6,7,4,1,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
cptkurtka023,76561198136488014,Team B,13,10,14,8,61,0.928571,79.166672,66.916664,0.541667,0.583333,1.541667,1606,262,37,0,4,2,5,3,2,2,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
headtr1ck,76561198359519930,Team B,15,8,13,8,53,1.153846,75.0,69.916664,0.625,0.541667,9.291667,1678,334,223,3,1,4,4,8,0,1,1,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
lux,76561198074017668,Team A,17,5,16,8,47,1.0625,75.0,73.208336,0.708333,0.666667,6.125,1757,382,147,5,3,2,2,4,3,1,1,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
nqz,76561198350342505,Team A,18,4,15,7,38,1.2,70.833328,67.5,0.75,0.625,0.416667,1620,151,10,2,3,4,3,6,4,0,1,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
esenthial,76561199149812353,Team B,14,5,16,11,78,0.875,75.0,56.083332,0.583333,0.666667,0.0,1346,252,0,1,1,2,5,8,3,0,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
kauez,76561198385657675,Team A,12,4,16,8,66,0.75,62.5,56.958332,0.5,0.666667,0.083333,1367,187,2,2,2,3,2,6,3,0,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
biguzera,76561198015308884,Team A,15,11,16,9,60,0.9375,79.166672,96.125,0.625,0.666667,19.291666,2307,460,463,2,1,1,6,8,2,1,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
npl,76561198305036904,Team B,19,6,16,10,52,1.1875,87.5,79.75,0.791667,0.666667,2.083333,1914,248,50,3,3,6,6,9,2,2,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
snow,76561198377335846,Team A,15,4,16,6,40,0.9375,79.166672,60.333332,0.625,0.666667,4.083333,1448,283,98,1,3,2,3,7,4,0,0,0,d98db98f2d8cae08,ESL Challenger Katowice 2024
esenthial,76561199149812353,Team A,8,4,13,5,62,0.615385,64.705887,52.823528,0.470588,0.764706,2.764706,898,103,47,1,3,1,3,2,3,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
headtr1ck,76561198359519930,Team A,16,2,13,7,43,1.230769,76.470589,88.411766,0.941176,0.764706,2.352941,1503,152,40,2,0,3,2,6,3,0,1,0,105e3d346cf2883f,ESL Challenger Katowice 2024
kauez,76561198385657675,Team B,9,4,12,8,88,0.75,82.352943,61.294117,0.529412,0.705882,0.352941,1042,125,6,4,3,1,4,7,1,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
lux,76561198074017668,Team B,9,6,10,3,33,0.9,76.470589,76.764709,0.529412,0.588235,0.0,1305,244,0,3,0,1,5,6,2,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
npl,76561198305036904,Team A,7,3,14,4,57,0.5,52.941177,55.117645,0.411765,0.823529,0.0,937,165,0,1,2,4,2,5,1,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
alex666,76561198304115519,Team A,4,1,14,3,75,0.285714,58.823532,29.941177,0.235294,0.823529,0.0,509,53,0,1,2,1,4,4,0,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
snow,76561198377335846,Team B,15,4,9,11,73,1.666667,88.235298,100.294121,0.882353,0.529412,1.705882,1705,269,29,1,0,3,3,9,3,0,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
biguzera,76561198015308884,Team B,17,2,9,8,47,1.888889,82.352943,89.470589,1.0,0.529412,6.882353,1521,243,117,1,3,3,3,4,2,3,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
cptkurtka023,76561198136488014,Team A,12,3,14,8,66,0.857143,88.235298,80.941177,0.705882,0.823529,0.176471,1376,267,3,2,2,3,4,7,1,1,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
nqz,76561198350342505,Team B,17,5,8,8,47,2.125,82.352943,86.294121,1.0,0.470588,1.0,1467,186,17,0,1,6,0,5,3,2,0,0,105e3d346cf2883f,ESL Challenger Katowice 2024
biguzera,76561198015308884,Team B,6,5,15,4,66,0.4,50.0,55.722221,0.333333,0.833333,7.0,1003,185,126,0,3,1,4,3,0,1,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
nqz,76561198350342505,Team B,13,4,12,3,23,1.083333,61.111111,87.444443,0.722222,0.666667,2.0,1574,205,36,1,1,4,1,6,2,1,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
alex666,76561198304115519,Team A,18,7,9,10,55,2.0,77.777779,119.333336,1.0,0.5,4.777778,2148,280,86,4,0,3,1,6,3,2,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
npl,76561198305036904,Team A,18,3,11,9,50,1.636364,77.777779,95.888885,1.0,0.611111,0.611111,1726,263,11,5,2,3,3,4,2,2,1,0,10196e75e41a9814,ESL Challenger Katowice 2024
lux,76561198074017668,Team B,10,6,15,5,50,0.666667,61.111111,62.111111,0.555556,0.833333,2.222222,1118,150,40,0,4,3,5,4,3,0,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
headtr1ck,76561198359519930,Team A,19,2,7,12,63,2.714286,94.444443,95.777779,1.055556,0.388889,0.611111,1724,100,11,0,0,7,3,6,2,3,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
snow,76561198377335846,Team B,12,3,15,4,33,0.8,66.666672,65.666664,0.666667,0.833333,2.166667,1182,99,39,1,1,3,4,5,2,1,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
esenthial,76561199149812353,Team A,5,3,12,3,60,0.416667,72.222221,32.222221,0.277778,0.666667,0.5,580,86,9,1,1,1,6,5,0,0,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
kauez,76561198385657675,Team B,8,2,16,5,62,0.5,66.666672,48.888889,0.444444,0.888889,5.555555,880,176,100,4,3,2,2,8,0,0,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
cptkurtka023,76561198136488014,Team A,13,4,10,9,69,1.3,94.444443,80.555557,0.722222,0.555556,7.333333,1450,232,132,2,3,3,5,5,4,0,0,0,10196e75e41a9814,ESL Challenger Katowice 2024
saadzin,76561198100494962,Team B,15,2,13,6,40,1.153846,65.217392,63.260868,0.652174,0.565217,1.173913,1455,183,27,2,3,1,1,6,3,1,0,0,25fa92a7bad8712,ESL Challenger Katowice 2024
snow,76561198377335846,Team A,16,5,14,7,43,1.142857,73.91304,84.478264,0.695652,0.608696,4.173913,1943,300,96,0,0,6,4,5,2,1,1,0,25fa92a7bad8712,ESL Challenger Katowice 2024
biguzera,76561198015308884,Team A,17,3,12,11,64,1.416667,65.217392,79.173912,0.73913,0.521739,0.478261,1821,283,11,4,5,2,2,5,6,0,0,0,25fa92a7bad8712,ESL Challenger Katowice 2024
latto,76561198850020186,Team B,12,4,18,5,41,0.666667,47.826088,56.434784,0.521739,0.782609,11.478261,1298,184,264,1,3,2,3,4,1,2,0,0,25fa92a7bad8712,ESL Challenger Katowice 2024
NEKiZ,76561198036884160,Team B,17,3,14,9,52,1.214286,69.565216,74.695656,0.73913,0.608696,2.956522,1718,308,68,2,4,2,1,4,2,3,0,0,25fa92a7bad8712,ESL Challenger Katowice 2024
